Time,CLASSROOM_9D637254:WUHAN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CLASSROOM_9D637254:WUHAN AUGUST .4% CONDNS DB=>MCWB:Des Sens Cool Load [W],CLASSROOM_9D637254:WUHAN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CLASSROOM_9D637254:WUHAN AUGUST .4% CONDNS DB=>MCWB:Des Cool Mass Flow [kg/s],CLASSROOM_9D637254::Des Latent Heat Load [W],CLASSROOM_9D637254::Des Latent Cool Load [W],CLASSROOM_9D637254::Des Latent Heat Mass Flow [kg/s],CLASSROOM_9D637254::Des Latent Cool Mass Flow [kg/s],CLASSROOM_9D637254::Des Heat Load No DOAS [W],CLASSROOM_9D637254::Des Sens Cool Load No DOAS [W],CLASSROOM_9D637254::Des Latent Heat Load No DOAS [W],CLASSROOM_9D637254::Des Latent Cool Load No DOAS [W],CLASSROOM_9D637254:WUHAN ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],CLASSROOM_9D637254:WUHAN ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],CLASSROOM_9D637254:WUHAN AUGUST .4% CONDNS DB=>MCWB:Cooling Zone Temperature [C],CLASSROOM_9D637254:WUHAN AUGUST .4% CONDNS DB=>MCWB:Cooling Zone Relative Humidity [%]
00:10:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.233797E+00,4.554790E+01,2.635699E+01,1.000000E+02
00:20:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.233453E+00,4.554896E+01,2.631684E+01,1.000000E+02
00:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.233112E+00,4.555002E+01,2.627749E+01,1.000000E+02
00:40:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.232773E+00,4.555107E+01,2.623876E+01,1.000000E+02
00:50:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.232437E+00,4.555211E+01,2.620050E+01,1.000000E+02
01:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.232103E+00,4.555314E+01,2.616263E+01,1.000000E+02
01:10:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.231772E+00,4.555417E+01,2.612508E+01,1.000000E+02
01:20:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.231443E+00,4.555519E+01,2.608815E+01,1.000000E+02
01:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.231117E+00,4.555620E+01,2.605193E+01,1.000000E+02
01:40:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.230792E+00,4.555720E+01,2.601631E+01,1.000000E+02
